idea,worker,rating
3FJ2RVH25ZI2SW52C7ZAPWZY1TN299,ASB8T0H7L99RF,3
3FJ2RVH25ZI2SW52C7ZAPWZY1TN299,A38DC3BG1ZCVZ2,4
3H781YYV6TUD7RQW3XZSIX9ZS3GETN,A38DC3BG1ZCVZ2,1
3H781YYV6TUD7RQW3XZSIX9ZS3GETN,ASB8T0H7L99RF,1
3JHB4BPSFKLJKF7NEIPBLEX1HZ19QU,ASB8T0H7L99RF,2
3JHB4BPSFKLJKF7NEIPBLEX1HZ19QU,A38DC3BG1ZCVZ2,1
3PZDSVZ3J5TXKCOJHV130CRGQW04N6,ASB8T0H7L99RF,2
3PZDSVZ3J5TXKCOJHV130CRGQW04N6,A38DC3BG1ZCVZ2,4
3TCFMTM8HE0K3R278UKHAQHF3HZ210,A38DC3BG1ZCVZ2,5
3TCFMTM8HE0K3R278UKHAQHF3HZ210,ASB8T0H7L99RF,4
3YLTXLH3DFIRZ9ORCHYEYQ5FVGNHP1,ASB8T0H7L99RF,3
3YLTXLH3DFIRZ9ORCHYEYQ5FVGNHP1,A38DC3BG1ZCVZ2,4
