idea,worker,rating
3FTID4TN8LANUJZIUP9V39RYHX4LY2,A25D66AC4QUW2U,3
3FTID4TN8LANUJZIUP9V39RYHX4LY2,A38DC3BG1ZCVZ2,3
335VBRURDJCUNCHI5RUBRX8NZRI9EE,A29VL3MZE7YPBZ,3
335VBRURDJCUNCHI5RUBRX8NZRI9EE,A38DC3BG1ZCVZ2,3
3H781YYV6TUD7RQW3XZSIX9ZTYLETJ,A37WXDYYT7RCZ0,2
3H781YYV6TUD7RQW3XZSIX9ZTYLETJ,AA9V4NE8SOA4I,3
36AZSFEYZ4CUDGI1Y1XHI7RZNMOBVW,A37WXDYYT7RCZ0,3
36AZSFEYZ4CUDGI1Y1XHI7RZNMOBVW,A38DC3BG1ZCVZ2,3
39WICJI5AT46J5JYK57ELU6JN5H3ZX,A37WXDYYT7RCZ0,3
39WICJI5AT46J5JYK57ELU6JN5H3ZX,A38DC3BG1ZCVZ2,2
3IWA71V4TISGBT612PHRVC2SPWL6X9,A38DC3BG1ZCVZ2,4
3IWA71V4TISGBT612PHRVC2SPWL6X9,AA9V4NE8SOA4I,2
3JU8CV4BRLO1RQAEGUT4IZ2G8X6OPS,A38DC3BG1ZCVZ2,2
3JU8CV4BRLO1RQAEGUT4IZ2G8X6OPS,A25D66AC4QUW2U,5
337F8MIIMZPUZGWCGPZ5P0V3JYU40R,A37WXDYYT7RCZ0,3
337F8MIIMZPUZGWCGPZ5P0V3JYU40R,A38DC3BG1ZCVZ2,5
3EQPA8A3748H4JLNNQZ111N8J23JZP,A38DC3BG1ZCVZ2,3
3EQPA8A3748H4JLNNQZ111N8J23JZP,A37WXDYYT7RCZ0,3
3QGHA0EA0JC7S5I6OB2D49ADUVQBW6,A37WXDYYT7RCZ0,3
3QGHA0EA0JC7S5I6OB2D49ADUVQBW6,A38DC3BG1ZCVZ2,2
3CIS7GGG65VS745L32P2NTV1CCSEUA,A38DC3BG1ZCVZ2,2
3CIS7GGG65VS745L32P2NTV1CCSEUA,A37WXDYYT7RCZ0,3
32TZXEA1OLWU65HUC83535EDOQ041U,AA9V4NE8SOA4I,4
32TZXEA1OLWU65HUC83535EDOQ041U,A37WXDYYT7RCZ0,4
3L7SUC0TTU6A36LIMTZ1BUC35PFM04,A29VL3MZE7YPBZ,2
3L7SUC0TTU6A36LIMTZ1BUC35PFM04,A37WXDYYT7RCZ0,3
