idea,worker,rating
30UZJB2POHO8CRZ9DH0YWQZOMLD35O,A38DC3BG1ZCVZ2,2
30UZJB2POHO8CRZ9DH0YWQZOMLD35O,ASB8T0H7L99RF,3
31GN6YMHLP469RZ8ZXO8UYKDYYFSWL,A38DC3BG1ZCVZ2,3
31GN6YMHLP469RZ8ZXO8UYKDYYFSWL,ASB8T0H7L99RF,4
3Y40HMYLL1U1D4W2Y7FUBIG8SX6XUZ,ASB8T0H7L99RF,2
3Y40HMYLL1U1D4W2Y7FUBIG8SX6XUZ,A1IZ4NX41GKU4X,5
3EPG8DX9LK2FJG4WBFX59T2PRH55P2,A25D66AC4QUW2U,3
3EPG8DX9LK2FJG4WBFX59T2PRH55P2,A38DC3BG1ZCVZ2,3
3CVBMEMMXBS2T3KRGV4XY4EUWWQ7HE,A38DC3BG1ZCVZ2,4
3CVBMEMMXBS2T3KRGV4XY4EUWWQ7HE,ASB8T0H7L99RF,4
37Y5RYYI0PHLYR4Y92KUWHYK70LSXE,A299J4PKHAEU9H,4
37Y5RYYI0PHLYR4Y92KUWHYK70LSXE,A38DC3BG1ZCVZ2,3
3PN6H8C9R4230PDN12XRHA1M5C3ADZ,A38DC3BG1ZCVZ2,3
3PN6H8C9R4230PDN12XRHA1M5C3ADZ,ASB8T0H7L99RF,4
3XEDXEGFX30FDILF1HMLWHKZGZO0KB,A9HQ3E0F2AGVO,3
3XEDXEGFX30FDILF1HMLWHKZGZO0KB,A25D66AC4QUW2U,3
3PGQRAZX02WAYWU8EY6WFV5T96FSYK,ASB8T0H7L99RF,4
3PGQRAZX02WAYWU8EY6WFV5T96FSYK,A1IZ4NX41GKU4X,4
3SD15I2WD264VVZNI0A3OWDOIGO364,A38DC3BG1ZCVZ2,4
3SD15I2WD264VVZNI0A3OWDOIGO364,A3PYB8Z6FFWSOV,3
32PT7WK7DMR3G4E2SNIHU2NGZ2BD36,A38DC3BG1ZCVZ2,2
32PT7WK7DMR3G4E2SNIHU2NGZ2BD36,A2SSYBUT9ZM0G9,2
37NXA7GVSTI6QP4DPEMBWAN4ZV5VL0,AUK4KGOJP9F0H,3
37NXA7GVSTI6QP4DPEMBWAN4ZV5VL0,ASB8T0H7L99RF,4
3QX22DUVOOTQW7MYPQNQWN2TZ0VVM2,ASB8T0H7L99RF,4
3QX22DUVOOTQW7MYPQNQWN2TZ0VVM2,A38DC3BG1ZCVZ2,3
3GVPRXWRPH62PYVBMDMIYGF9W957I7,A25D66AC4QUW2U,4
3GVPRXWRPH62PYVBMDMIYGF9W957I7,ASB8T0H7L99RF,3
3A520CCNWNC8SVRNXX8BNSJ75O4AES,A1IZ4NX41GKU4X,5
3A520CCNWNC8SVRNXX8BNSJ75O4AES,A38DC3BG1ZCVZ2,3
3K3G488TR2K0JS5BBSCU9YSZWDR5QT,A3PYB8Z6FFWSOV,2
3K3G488TR2K0JS5BBSCU9YSZWDR5QT,A38DC3BG1ZCVZ2,3
3BFNCI9LYK2NZVDS1AFVUADKDR8373,A2HM35CWB7IIFM,2
3BFNCI9LYK2NZVDS1AFVUADKDR8373,A38DC3BG1ZCVZ2,2
302U8RURJZDWEP7Y1R2Q92RT4Q5VN2,A38DC3BG1ZCVZ2,2
302U8RURJZDWEP7Y1R2Q92RT4Q5VN2,ASB8T0H7L99RF,3
3L7SUC0TTU6A36LIMTZ1BUC354J0MG,A3L3ZFL1NYFTCF,4
3L7SUC0TTU6A36LIMTZ1BUC354J0MG,ASB8T0H7L99RF,3
371Q3BEXDHLA3M4DAK8FT2EVF0JSZB,A38DC3BG1ZCVZ2,4
371Q3BEXDHLA3M4DAK8FT2EVF0JSZB,A25D66AC4QUW2U,3
38F60IALAGTEG1B2VQ0DX87VZCET09,ASB8T0H7L99RF,3
38F60IALAGTEG1B2VQ0DX87VZCET09,A38DC3BG1ZCVZ2,2
3D1UCPY6GGLRZ9IBBF718A9FOBE38Q,A38DC3BG1ZCVZ2,4
3D1UCPY6GGLRZ9IBBF718A9FOBE38Q,A25D66AC4QUW2U,3
3G9UA71JVV6YK9FH4V7IAHU99OU7JJ,A2HM35CWB7IIFM,3
