idea,worker,rating
32XN26MTXZVQXO3XMHYMBHXE5ZT0LE,A320QA9HJFUOZO,2
32XN26MTXZVQXO3XMHYMBHXE5ZT0LE,ASB8T0H7L99RF,2
3RHLQY6EDTGOY0X6S1N047FMD27D4R,A9HQ3E0F2AGVO,5
3RHLQY6EDTGOY0X6S1N047FMD27D4R,A38DC3BG1ZCVZ2,3
3Z8UJEJOCZPRDE1LG7DF864Q8HW39F,A3PYB8Z6FFWSOV,3
3Z8UJEJOCZPRDE1LG7DF864Q8HW39F,A1IZ4NX41GKU4X,2
3DA79LNS597AXTAZEDIWZ6522OYT34,A2XFO0X6RCS98M,4
3DA79LNS597AXTAZEDIWZ6522OYT34,ASB8T0H7L99RF,3
3CO05SML7VH10MYAR1VIXT6DBRI0R4,A2XFO0X6RCS98M,5
3CO05SML7VH10MYAR1VIXT6DBRI0R4,A38DC3BG1ZCVZ2,3
30P8I9JKOIXSO01SXR64FLR7D565VN,A2HM35CWB7IIFM,4
30P8I9JKOIXSO01SXR64FLR7D565VN,A1IZ4NX41GKU4X,1
