idea, winning, final_feedback
 Unpredictable changes in global climate- economies plagued by chronic instability and energy insecurity with volatile fossil fuel costs are all manifestations of the pervasive uncertainty that defines our time. This instability is symptomatic of the undermining of a worldview of constant growth and inexhaustible resources that disregards biophysical limits and our interdependence with natural systems.Communities can confront this uncertainty through:1) design that increases the capacities of a system to assimilate change rather than for a predicted set of conditions- and 2) integration of human and natural systems towards a co-evolutionary symbiosis that is able to perform within the biological and physical constraints of our planet.  This strategy/discussion would target planners- energy planners- urban designers on both the public and private sectors.  We keep constructing the built environment - from electrical outlets to nation-wide oil pipelines and massive hydro dams - on old ideas of how energy infrastructure should function. These old ideas are biased towardstop/down- single-function- non-renewable rigid infrastructure which need to change if we want to have any hope in the large-scale adoption of renewable and effective energy that needs to happen.  A collaborative analysis of existing infrastructure and its energy context of one city- from source to sink- to identify where there is opportunity for early intervention.  Expertise from those on-the-ground who have faced some of the challenges of operating within old infrastructure models. Also scholars who are working more closely with thermodynamics- exergy and related concepts as well as ecologists who are more knowledgeable of how energy is transfered through trophic levels in natural systems.  A combination of various types of renewable energy  An Individual ,0,0
 In the more densely populated areas of a city there are generally large multi-residential buildings with occupants who already pay utilities. What if we had the option of paying a little more now as a group- so that everyone can benefit after the projects completion? Like crowdsourcing for renewables at the local and individual level.  The residents who help fund a project will benefit along with the building owners.  It's community specific- not nessesarily for every area or low density populations. Get enough people to chip in and those individuals will be rewarded and possibly those who didn't. It also takes some of the cost away from one individual and spreads it across many people to make it more affordable.  Community meetings to see who would be interested and how it benefits them.  Urban planners definitely- along with architects and community outreach programs.  A combination of various types of renewable energy  An Individual ,0,0
 The basic premise is to have a label on food products (or any product) that quickly and simply shows to what extent everyone involved in making the product was paid a living wage. Like the organic labeling system- which allows consumers to make choices about how their food is raised- this label allows consumers to factor how well taken care of the workers are who make given a product into the consumer's decision before they buy.It also allows companies that take extra good care of their workers to charge a premium to consumers who are willing to pay for their good behavior.  Naomi Klein in her book this changes everything writes that environmentalists need to consider the social justice picture when deciding what political battles to pick.e.g. rather than pursuing an umpopular carbon tax- we might want to put our energy into the $15/hour living wage campaign.This is because a living wage campaign would bring more people to the table to have the conversation about the environment- and also people who are not desperate are pickier about who they work for and what they allow their communities to go through.e.g. if a most people in a neighborhood are earning a living wage they're less likely to agree to the new coal plant or waste incinerator moving in.  I will add more about this idea later.I welcome feedback in the meantime  I will add more about this idea later.I welcome feedback in the meantime  I will add more about this idea later.I welcome feedback in the meantime  A combination of various types of renewable energy ,0,0
 I will add more about this idea later.I welcome feedback in the meantime. The basic premise is to have a label on food products (or any product) that quickly and simply shows how carbon intensive the product is.Like the organic labeling system- which allows consumers to make choices about how their food is raised- this label allows consumers to factor how green a product is into their decision making before they buy.It also allows companies that have gone to the extra trouble of becoming green to charge a premium for consumers who are willing to pay for their trouble. The labeling system could start with food and expand to other products.  I will add more about this idea later.I welcome feedback in the meantime  I will add more about this idea later.I welcome feedback in the meantime  I will add more about this idea later.I welcome feedback in the meantime  I will add more about this idea later.I welcome feedback in the meantime  A combination of various types of renewable energy  An Individual ,0,0
 Impact investments are investments made into companies- organizations- and funds with the intention to generate a measurable- beneficial social or environmental impact alongside a financial return.Impact investingtrough your retirement schemeYour 401 k (or pension fund) had a policy to invest 5% on CleantechYou would get a report on the invested Companies.Your investor profile would still be conservative- still your expose to higher return (but also riskier) investments. 5% or less may be a small sum for you (but pension funds- have time - most investments need more than 5years - and need to diversify their expose).  My post doesn't mention a specific type of energy  An Individual ,0,0
 This idea is a mechanical system that collects rain water at a height and uses this to turn a dynamo and recharge large batteries as it comes down to ground level. Here it is emptied into storage tanks or wells for later use.The system provides free renewable energy and clean water to remote areas with high rainfall anywhere in the world.The key points are that: -it can be reasonably cheap to make and easy for local communities to construct themselves. - Useful in areas that are often cloudy and solar is not particularly effective - Each tower can generate enough electricity topower lighting at a recharge station and recharge radio equipment or mobile phones for locals.  The biggest places that will benefit are those in high rainfall/monsoon regions where a lot of rain can fall for many days. During the rainy season heavy cloud cover can mean very little sunlight for effective solar panel use. Areas that have no electricity supply at all will benefit the most.  We need to be able to use mathematical/physics models to see how much rain water needs to be collected to generate certain amounts of electricity. What size of trough is needed- how may towers are needed to have a constant supply of electricity while it rains?  A type of energy not listed  An Individual ,0,0
 We believe that everyone should have the ability to support clean energy.So we created a new way for people to take action.It's a pretty simple idea actually. We raise money through crowdfunding to put solar panels on community-serving nonprofit organizations and worker-owned cooperatives.As these organizations pay us back- we reinvest the money into more solar projects in communities across the country. This creates a revolving fund for solar energy that continually perpetuates itself building more and more solar.It's a pay-it-forward model for community solar.We call it the Solar Seed Fund.Learn more at www.solarseedfund.org and www.re-volv.org!  The Solar Seed Fund benefits everyone by helping nonprofits and cooperatives that serve their community go solar. The avoided carbon emissions help alleviate climate change- and seeing solar panels on the rooftops of beloved community organizations inspires community members to go solar at home. But even if someone can't go solar at home- they can chip in and support the Solar Seed Fund and know that they are actively creating climate solutions. Every dollar donated is a vote for a clean energy future.Small community-based nonprofits and cooperatives often want to go solar to save money and demonstrate their commitment to sustainability. However- due to their tax structure- credit rating- and the size of their projects- they often can’t find solar financing.RE-volv makes going solar easier for these organizations by offering low-cost financing through hassle-free lease agreements. In addition- through RE-volv's educational outreach programs- these community organizations are helping to raise awareness about solar energy among the people they serve.  RE-volv’s main objective is to implement renewable energy projects in communities that can’t afford them. Nonprofits and cooperatives that serve as the backbone of our communities are often left without financing options for solar energy. Through its revolving fund model- RE-volv is able to provide access to solar to those who previously didn’t have it.RE-volv’s programs are uniquely designed to increase civic participation. Traditional solar financing comes from a few big banks and financial institutions. RE-volv turns this model on its head.RE-volv gives every single person the ability to help support building local solar projects. This way- each person can take action on climate change and participate in creating a more sustainable community.Through this community participatory finance model- RE-volv creates localized- renewable power generation and green jobs through its solar installations.  So far- we've crowdfunded two projects successfully and are currently in the middle of our third crowdfunding campaign. You can check it out at www.solarseedfund.org! Lease payments from the first two projects have lowered the amount we need to crowdfund for our current project by $7-008. Soon we will launch our own crowdfunding platform giving donors the ability to view a portfolio of the projects they’ve supported and the environmental impact they’ve had. With the new platform we’ll be experimenting with functionality to find out what are the key features to foster engagement on the site.  We need to expand the Solar Seed Fund network and take our model to scale. We're going to be launching our own crowdfunding platform soon and we want to know from you- the community- how we can make this an interactive and empowering way for people to support clean energy. What can we incorporate to get people excited about supporting solar?  Solar  An Individual ,0,0
 PEM fuel cells (PEMFC) and their hydrogen fuel requirement are struggling to compete with current energy options (gasoline- natural gas- hybrid electric). To overcome these competitors- reductions in the cost of manufacturing as well as improved efficiency and range of operating conditions need to be addressed. Hydrogen production costs and handling also will require reductions to the scale that petroleum refineries enjoy today. The Honda fuel cell FCX Clarity vehicle is rated at 59 mpg-e (mile per gallon equivalent to gasoline). If outfitted with the proposed enhanced fuel cell membranes the mileage would increase to 82.6 mpg-e.  A report by Transparency Market Research states the global fuel cells market was valued at US$355.3 million in 2011 and is projected to grow to US$910.3 million by 2018 led by the stationary segment expected to reach a market size of $4.17 billion by 2019.The initial target market is MEA manufacturers serving the Proton Exchange Membrane Fuel Cells (PEMFC) segment- specifically those operating at low temperature in small stationary- transportation and portable applications. The market was selected because the technology has the greatest known impact on systems operating at low temperatures. Widespread use of PEMFC technology is due to low operating temperature- rapid start up capabilities- favorable power density/size ratio and the ability to vary output in matching power demand shifts also favored selection of this market.PEMFC is the most dominant form of fuel cell- accounting for over 40% of global installed capacity and close to 88% market share in 2013. Applications include forklifts- automobiles- telecommunications- data centers- primary and backup power systems.MEA manufacturers will be critical users of the process method integrated/outsourced with their existing or potential high throughput capabilities that would drive additional cost reduction requirements of supported catalyst manufacture. Target companies also harbor relationships with PEMFC manufacturers critical in understanding industry component development needs- providing performance validation and cost reductions facilitating widespread adaption of the product.  Customer interviews identified that catalysts have to be more resistant to CO- which the technology achieves by reducing the impact of CO introduced by the ambient air supply to the operating environment.The true value resides in increased power output capabilities. For example- a 3kW fuel cell system without the enhancement costs $14-800 or $4-933/kW. With the enhancement- the system output would increase to 4.2 kW and cost $3-524/kW. This translates to fuel consumption efficiency across all applications. Using the 3 kW fuel cell example- the system consumes 39 L/min Max H2 at full power. With the enhancement the system does the same work but only consumes 23.4 L/min (40% less).  The goal of this project is to deliver a nanoparticle enhanced membrane to a commercial MEA partner for 3rd party evaluation as to the claims and merits of this breakthrough technology.  Subject Matter Experts in the Fuel Cell Industry and others with overall interest in growing the renewable energy industry in the US.  A combination of various types of renewable energy ,0,0
 People need to know who (a face and name) they are paying energy bills to and who is tracking their energy expenditures for them to make more conscious energy related decisions. Our approach connects personalized energy experts who are workers at electricity grids or members of an organization such as LEED to families based on regions and socio-economic class. The expert could hold monthly meetings to provide information about energy and new low cost technologies that could help them save their energy consumption and identify a monthly target for each house. These experts would work closely with community leaders (if any) and create an energy council in the region that would be responsible for daily monitoring of payments.  A type of energy not listed  A Group Brainstorm ,0,0
 As we need to use what is already existing and keep it simple to allow community to quickly adopt renewable energy- we have to keep it simple and stupid. Otherwise it will take too long for the human to adapt. Thus I decided to use motion already existing- we will soon be 9 billion on earth and imagine if only 4.5 billions would wear my clothes. Your body motion is what will provide you your own energy. ,0,0
