idea,winning,final_feedback
 Encouraging communities to thrive with their own on-hand resources through a peer lending trust system.  1. communities with on-hand resources seeking financial empowerment; 2. individuals with savings looking for a alternative way to invest (lend) their money.  This idea takes advantage of the dynamics in a community (i.e. trust- organization- cooperation) to make it an attractive alternative investment solution for individual around the world. In turn- communities have access to a new financial resources (the savings of individuals).  Before launching any such platform- it is essential to test it on a micro-scale. Essentially- that means seeking out a local community with an on-hand resource looking for financial empowerment as well as a potential investor eager to help through investing. Testing the platform on a personal basis by word of mouth before launching it online is important. Discussing and getting feedback from the main players can insure a more successful system in the long run.  How to improve the educational sector of my idea? What about the mediator/facilitators from the community- does that seem to have success? How to perfect and gap the holes in the idea?  An OpenIDEO Meetup ,0,0
 Simple community banking where everyone benefits and is primarily focused on providing financial services for those who need it most.  First and foremost- the solution benefits those who are unable to access traditional banking accounts and services. Secondly- it benefits those who support such people to have better access to financial services (e.g.- the donors)- giving them knowledge that they are able to help fellow members of the community. It also allows such people to donate time in kind to staff with their ‘mobile’ banks. It also provides a forum for banks to support their local communities (and their CSR obligations).  As per the description above- it’s the power of the community that propels the network.  The solution can be built to start small: •A community bank (Bendigo Bank- Sydney AU) can be approached about diverting a percentage of its community funding to subsidise the cost of accounts and micro loans for a few people – a simple product with no charges or interest •Once successful- ‘traditional’ banking customers can directly donate money through a ‘keep the change’ approach •As a parallel activity of bringing the bank to the at-risk community members can be rolled out at any point  Further insights and resources to aid in the refinement and implementation of the solution.  An OpenIDEO Meetup ,0,0
 Network of (co-owened) Companies as a 'Force for Good'  As this concept combines several itselves proven components it should also (or even better) work in combination.  An individual ,0,0
 Use under utilized capacity/resources in the service industry to facilitate growth of community-based micro-entrepreneurs.  Well-equipped kitchens and spaces go unused every day in NYC when restaurants close on certain days of the week. Meanwhile- there are a number of people selling homemade food items on the streets (i.e. tamales). If these micro-entrepreneurs can get access to use these unused spaces- they can grow their own output/profit- while restaurants can be paid for the space use through a profit/product share- gain community respect- & possibly incentivize workers to stay employed (if family works there).  There would really leverage the core of the neighborhood -- neighbors giving each other a hand up. While logistical boundaries exist- this could blossom within the new sharing economy. This is an opportunity to create bridges between different ethnicities/cultures/communities- connecting restaurants to grow profits and expand menus- while educating individuals on growing a business. University students/city agencies could get involved -- developing business & financial planning skills.  We'd have to go out and talk to both restaurants and the micro-entrepreneurs- and determine the boundaries of the businesses (time- resources- etc) as well as the interest of the mirco-entrepreneurs.  An OpenIDEO Meetup ,0,0
 Education through a tiered approach enabling children to gain financial stability.  We wanted to develop a life-centered solution to improve the quality of life for the children- 10 to 15 years old- of Rio de Janeiro's Favelas- specifically Favela Rocinha. With this idea we will help teach children financial responsibility- help them develop resource management skills and empower them to play a part in the transformation of their community into prosperous neighborhoods.  People in Brazil's Favelas already have an entrepreneurial spirit with in their communities. We want to encourage this community infrastructure and build from it. We will also engage the community with the promotion and distribution of the program.  We would set up a small scale prototype within one of the schools or neighborhood facilities.  Facilitating the partnerships.  A student project or collaboration ,0,0
 You change behavior over the long term.  We'll benefit every community stakeholder on every economic level. Making information transparent and connecting people will ultimately strengthen communities and local business- specifically financial services because they'll be able to gather realtime data they've never had access to before helping them development new services and programs geared to reach specific end users. We'll allow them a way to maintain a monthly dialog with users to help them stay on the path.  What the founder of Tactile Finance learned about the real estate and banking industries isn't even the half of it. I think real estate more than banking prefers it's customers with as little info as possible. Most real estate companies are more worried about their bottom line than building sustainable communities. They ignore the part of housing- residential rentals- where most low-middle incomers dwell. And where the most support is needed for property owners to reduce risk so capital flows.  I was able to discuss with a community bank- how they could get better and more info on renters from the property owners they finance. They only make multifamily loans and the gov't wants to make sure the funds are really improving communities. I did classes at the CHA on sustainable communities for a year and talked to countless owners renting to low income people on housing assistance vouchers. And I operated a property management company for 10 years- I understand how to help this market.  http://firstround.com/review/Dropboxs-Head-of-Design-on-the-Dawn-of-Personalized-Products/ I initially thought we had a ux designer but have discovered I was mistaken so I still need help there and also looking for a dynamic programmer. Both people need to design and program with an eye on where their industry is headed as much as where it is now. And both should have the ability to create on their own from a concept. Some only thrive when being given explicit direction- need free thinkers.  An individual ,0,0
 Make saving and tracking daily expenses quick and easy for those who want to control their budget.  Exchange and brainstorm ideas that will optimize the app's capabilities and options for the users to save the most that they can monthly.  An individual ,0,0
 Grassroots level education through community leaders who will be provided with incentives for their performance and production.  There will be two main players in this project - the community and the ambassador. The community will be given financial access through the ambassadors and they can approach them with ease for any questions or concerns instead of going to somewhere or someone distant to the community. The ambassador will be given incentives for their performance as access points for the community - they can sell bank accounts and also serve as teachers for their community.  Through the ambassadors- the community members can easily open bank accounts for themselves and their families. Targeting areas with BanKO partner outlets or establishments- they can easily cash in and out of their accounts. They will be given access to different financial services such as cash in and out- purchase of airtime for a discounted rate- send money through their phones- pay utility bills- buy insurance- and apply for loans.  BanKO can perform a pilot test in 2 areas in Metro Manila- Philippines - Quezon City and Las Pinas City. The company is targeting those communities since parent leaders were already contacted and the areas are near the head office of the company. They can easily be reached for any updates and can be easily gathered for any orientation or refresher sessions.  BanKO is very open and willing to learn on how they can effectively educate the community leaders and members. Guidance in making the project more human-centered and more effective in replicating for different areas. OpenIDEO will definitely be able to refine and shape the goal and plans into something that can improve the lives ofthe Filipino people.  An organization ,0,0
 Create a platform that will enable financial awareness for children through neighborhood jobs  This idea will benefit the community but primarily younger generations who are asked to identify opportunities within a neighborhood and then negotiate a price for the job. They will learn to be creative- entrepreneurial and financially responsible as they will gain a better understanding into the effort required to obtain compensation. This platform could work in all locations and demographics. The jobs would vary but the education taken from the experience would be life changing.  Communities need a way for people to connect with one another beyond their immediate neighbors and offer up money making and financially educational opportunities to children or young adults so that they will learn these lessons earlier in life. The process would be to provide a platform for individuals to identify problems or jobs that are needed throughout the community. They would then approach the benefactor to negotiate a price for this service. From there the service could be provided.  Gather our neighbors together and discuss the platform concept. We could then encourage the young people to seek out opportunities and begin to negotiate the importance and price of the service. This would help us better understand the needs of the platform before setting out on designing the solution to help facilitate the interaction.  Feedback about how the solutions could be identified and captured. Testing the concept within different communities. Improving and iterations on the idea.  Other ,0,0
 Could reduction of pay inequality help build trust and subsequently empower those of lower economic class?  This idea could primarily benefit people who are disenfranchised by the current levels of income disparity (at least from a U.S. perspective).I do believe that everyone could potentially benefit from this idea.  By defining- and building- communities that include all economic classes I believe we can build trust (in both directions) between those who have financial knowledge and power and those who are more or less disenfranchised by current structures.  Ben & Jerry's is one example of a company that tried to limit the ratio in pay between the highest paid employee and the lowest- but unfortunately that practice didn't survive the sale of the company.Other than seeking out other examples- I have to acknowledge that I'm not sure of a lightweight test.  I think it would be important to try to quantify what would constitute an ideal amount of pay inequality and what the tradeoffs might be- if that can be done via appropriate research.I would also welcome ideas on how to facilitate building community and networks between high and low earners.  Other ,0,0
