Id,title,idea,rating,labels,labels_viability,labels_feasibility,labels_desirability,final_feedback
302U8RURJZDWEP7Y1R2Q92RT4Q5VN2,302U8RURJZDWEP7Y1R2Q92RT4Q5VN2, The REISAP (Renewable Energy Information System Analysis Portal) Idea- has been developed from insights gained through my research phase of the How might communities lead the rapid transition to renewable energy?  project.A primilary depiction of this idea consists of 4 parts: -A web portal-A smartphone application-A specialized computer measuring/input device-An integrated community portal section and electrical micro-grid/distributed storage and renewable energy generation system This system is focused on users in low-density and rural areas where the local/regional utility is experience diminishing returns on their investment in providing energy to users (i.e. for every dollar the utility invests in energy product- they experience a negative return which increases with distance)The main players are the users- the portal operators and company- the microgrid operators- the suppliers and installers of energy efficiency and renewable energy technology and financing organizations. (Repeated from above)The idea addresses four issues or pain-points- identified in my previous post- “The Complexity (Paralysis) involved in the Transition to Renewable Energy”:-Decision analysis and comparison of current and future technologies-Being able to select feasible and practical energy consumption reduction methods- to reduce the size and cost of the installed renewable energy system-Being able to analyze and selecting between different system options (investing for water heating only first- then build on the system) paths based on least cost- investing in part now and the rest later- and available financing-Being able to apply what if scenarios- based on usage and environmental factors An early- lightweight experiment that I can you try out in my own community to find out if the idea will meet your expectations- is to choose a:1. (option A)suburban home and apply a simplified version of the idea to a home in the suburban area 2. (option B) location in a rural area with basic energy needs The skills- input or guidance I would be keen to connect with from the OpenIDEO community to collaborate with and help you build out or refine this idea further are:A. Technology Designers B. Technology Engineers C. Engineering/Discipline SpecialistD. Would be nice to have anyone with the following(idea refinement):1. Anthropologist2. Experimenter 3.Cross-Pollinator 4.Hurdler<-that's me 5.Collaborator 6.Director 7. Experience Architect 8.Set Designer 9.Storyteller 10.Caregiver (10 faces of innovationhttp://www.tenfacesofinnovation.com/tenfaces/index.htm ) A combination of various types of renewable energy An Individual,0,3,3,3,4,0
304QEQWKZPWY396UZ9EE3Y1804Y0OV,304QEQWKZPWY396UZ9EE3Y1804Y0OV, Kyrgyzstan has a considerable rural poor population and an ongoing energy crisis.Many of these rural communities have livestock- making them perfect candidates for biogas digesters as a source of cheap- renewable power- with the added benefit of manure as a by-product. However- there is as yet little understanding or trust in biogas as an energy source. This idea inspired communities to use biogas by providing a live and trusted demonstration of how it works. Harnessing children's natural 'pester power' and funding a pilot community will spread the power of poo to Kyrgyzstan's rural poor and enable them to lead their country's renewables transition. This benefits rural poor communities with livestock in Kyrgyzstan- one of DFID’s 28 priority countries. These communities live predominantly off their farming practices and have little or no access to energy. Kyrgyzstan has a high rate of literacy and we would expect the education of the target communities to be basic but with reading and writing competency. Rather than specify locations at this stage- it would be preferable to work with already established local NGOs to ensure the right pilot community is chosen- and help to build bridges to other communities.Specifically targeting the poorest families and women to become the community-employed plant maintenance operatives would help to address the additional needs of these groupings. These communities do not currently use renewable energy sources as uptake in Kyrgyzstan of biogas has been very limited- despite its perfect positioning for this fuel type due to its combination of livestock and an energy crisis. This is largely due to prohibitive costs and lack of understanding in communities which this idea seeks to overcome. By using the positive influencing of children and broadening this out to the whole grouping- the pilot community will recognise livestock excrement as a source of power and a solution to their energy needs. Running a workshop with children- and a second with children and parents- to test educational methods and the power of infant influencing- will help to understand the best methods of approaching this educational phase and ascertain what branding territories might be most applicable. Further thoughts on innovative financing mechanisms appropriate to impoverished communitiesMoney to provide the initial loan to the pilot community Biofuels A Group Brainstorm,0,4,4,3,5,0
30UZJB2POHO8CRZ9DH0YWQZOMLD35O,30UZJB2POHO8CRZ9DH0YWQZOMLD35O, Unpredictable changes in global climate- economies plagued by chronic instability and energy insecurity with volatile fossil fuel costs are all manifestations of the pervasive uncertainty that defines our time. This instability is symptomatic of the undermining of a worldview of constant growth and inexhaustible resources that disregards biophysical limits and our interdependence with natural systems.Communities can confront this uncertainty through:1) design that increases the capacities of a system to assimilate change rather than for a predicted set of conditions- and 2) integration of human and natural systems towards a co-evolutionary symbiosis that is able to perform within the biological and physical constraints of our planet. This strategy/discussion would target planners- energy planners- urban designers on both the public and private sectors. We keep constructing the built environment - from electrical outlets to nation-wide oil pipelines and massive hydro dams - on old ideas of how energy infrastructure should function. These old ideas are biased towardstop/down- single-function- non-renewable rigid infrastructure which need to change if we want to have any hope in the large-scale adoption of renewable and effective energy that needs to happen. A collaborative analysis of existing infrastructure and its energy context of one city- from source to sink- to identify where there is opportunity for early intervention. Expertise from those on-the-ground who have faced some of the challenges of operating within old infrastructure models. Also scholars who are working more closely with thermodynamics- exergy and related concepts as well as ecologists who are more knowledgeable of how energy is transfered through trophic levels in natural systems. A combination of various types of renewable energy An Individual,0,1,1,1,2,0
31GN6YMHLP469RZ8ZXO8UYKDYYFSWL,31GN6YMHLP469RZ8ZXO8UYKDYYFSWL, In the more densely populated areas of a city there are generally large multi-residential buildings with occupants who already pay utilities. What if we had the option of paying a little more now as a group- so that everyone can benefit after the projects completion? Like crowdsourcing for renewables at the local and individual level. The residents who help fund a project will benefit along with the building owners. It's community specific- not nessesarily for every area or low density populations. Get enough people to chip in and those individuals will be rewarded and possibly those who didn't. It also takes some of the cost away from one individual and spreads it across many people to make it more affordable. Community meetings to see who would be interested and how it benefits them. Urban planners definitely- along with architects and community outreach programs. A combination of various types of renewable energy An Individual,0,2,1,4,3,0
31MCUE39BKY6SOOTUDJP0NQDCUR3G6,31MCUE39BKY6SOOTUDJP0NQDCUR3G6, This idea would be be based on a website with the same concept than kickstarter.The idea is that anybody can give money to support the building of a wind generator or a solar panel farm- and then get money back from the production of this unit! The worldwide community would benefit this idea and the main players are us- the people! It makes it incredibly easy to invest in green energy as a regular person. A combination of various types of renewable energy An OpenIDEO Meetup,0,4,4,4,4,0
322ZSN9Z5GWVFPT3ERNF9BX8GOUT4P,322ZSN9Z5GWVFPT3ERNF9BX8GOUT4P, A five leaf (house) rating system that will become a feature of property search engines such a domain.com and realestate.com. This feature will be viewable along with other information about a rental property and will become a search feature. In addition- there will be a website established to act as a database for all high-rating properties. A certification will be granted to trades people who receive a green energy accreditation as part of or in addition to their standard accreditation. - can be started local but can be rolled out in a larger sense - primarily targeting renters - age group: 20-35 - education level: basic feature of a search engine most people will be able to understand - creates a competition between properties regarding their energy rating - properties with renewable energy sources rate higher - survey to consumer to gauge interest in green energy rating for rental properties- pilot with a local real estate agent and offer free accreditation for some properties - interviews with renters what they value the most when renting a new place and if such rating system would be demanded - an advisor panel to help implement a fast- easy rating system - building a website A combination of various types of renewable energy An OpenIDEO Meetup,0,2,2,4,4,0
32PT7WK7DMR3G4E2SNIHU2NGZ2B3DW,32PT7WK7DMR3G4E2SNIHU2NGZ2B3DW, The idea is to give rewards to individuals and organisations in the form of:1.Annual Awards for those who have helped to reduce- generate and store renewable energy the most within that year.2.Project Funding for the few top winners who would like to develop their project further.3.Incentives based on the amount of energy they have saved- generated or stored for others. The idea can benefit any community- around the world. The focus is to connect individuals and small organisation to help each other in collaborating to create sustainable environments beyond their owns.GIVING BACK program includes everybody with different motivations in creating sustainable environments. The environment savvy- the people and communities and small organisations who need to create their legacy- the entrepreneurs- designers and any individuals who would like to get simple payments from their efforts. We can also involve big corporations in: 1.CSR (Corporate Social Responsibility) departments to sponsor this initiative 2.Companies who produce green technology to sponsor a community to start this program. GIVING BACK program provides opportunities for everybody to start their own renewable energy initiatives and extend their individual efforts to others and rewarded for it. The implementation could be started within a small community of approximately 50 participating households from different backgrounds and few community buildings such as schools- clinics and markets. To build this idea further- I would love the OpenIdeo community to help giving ideas and to develop developing the tools (smart-energy meter and the applications tied to it) and ideas or any suggestions on how to transfer stored energy in a simplest way possible. A type of energy not listed An Individual,0,4,4,4,4,0
32PT7WK7DMR3G4E2SNIHU2NGZ2BD36,32PT7WK7DMR3G4E2SNIHU2NGZ2BD36, What would you do- if you could get all the energy that you could need in your life for just- one dollar? Besides stopping fossil and nuclear energy costs and pollution.There are such amazing and great projects- ideas and investigations about Renewable Infinite Energy production- besides the great ideas of all the people in here- that need to be known and supported to improve our world- so… “Lets make a viral commitment to support them”The main renewable energy generation methods to focus on-in my opinion must be the Electricity production from MAGNETISMandELECTROLYSIS PROCESSES to produce Hydrogen- Oxygen- and Electricity from water and air. Because this energy sources don’t depend on climatic circumstances- to produce energy. Every community and every one shall benefit form renewable infinite energy- we all are the main players by doing a commitment to donate for support and by learning and teaching othersabout this kind of energy. Via the viral commitment to spread knowledge and teach 10 different persons every week until every one on earth knows that everyone can produce and how to produce his own energy. I can go out and start to speak to people about producing your own Renewable Infinite Energy and watch their reaction to the information- I’ll ask if they agree to the dollar donation as well. Every body wants to save money- don’t we? I have talk to a couple of persons and their reaction was positive. One of them even said- I wish you can make it come true. I wish you could help me and the world to develop and administrate the donation system and project sponsoring methodology. A type of energy not listed An Individual,0,1,1,1,1,0
33EEIIWHK7JHHMKQHJU7DWMY91SVQP,33EEIIWHK7JHHMKQHJU7DWMY91SVQP, Using the psychology in behalf of creating a positive addictions to use renewable energy technologies. People are intended to get used to a things that give them pleasure- right? So let's create some pleasure by renewable energyand make them addict. It is a 6 step process including;0. Feasibility ( Place- Actors & Funding )1. Install 2. Monitor3. Reward 4. Uninstall5. Monitor & Compare6.Reinstall & Financial Model A combination of various types of renewable energy An Individual,0,1,1,1,1,0
3538U0YQ1F60EOSYJTD7I2Q1BFR3F7,3538U0YQ1F60EOSYJTD7I2Q1BFR3F7, It's Airbnb meets PG&E--apply P2P platforms to DERs- allowing individuals to directly sell excess electricity production from renewable energy.Electricity producers will be financially empowered- consumers will have cheaper and more renewable options- and the energy market will become more efficient.The expected outcome is that communities would rapidly transition to renewables as people increasingly profit from the energy sharing economy! This idea will greatly benefit any community that uses energy from a centralized electrical grid.In developing countries- this idea has the potential to not only drive down energy prices but also financially empower individuals and communities. By increasing access to cheaper sources of electricity- namely DERs- then communities will naturally pursue renewable energy sources.As the P2P energy sharing economy flourishes- potential producers will increasingly pursue a variety of cost-efficient methods of producing renewable energy in order to play in this market. Develop the P2P platform and link one neighborhood with particulary low access to renewables with another neighborhood with a particularly high production of renewables.Analyze electrical usage and bills before and after the introduction of the P2P platform. I'm interested in getting guidance from managers and electrical engineers from utility companies- electrical engineers with experience with grids- electricians with experience in renewable energy- and app developers. My post doesn't mention a specific type of energy An Individual,0,2,1,3,3,0
