idea,worker,rating
3087LXLJ6MS4XWT106VOG4SU7TYF0U,A38DC3BG1ZCVZ2,2
3087LXLJ6MS4XWT106VOG4SU7TYF0U,ASB8T0H7L99RF,1
31N9JPQXIPURWOCEW2LMU10KV1MHN5,ASB8T0H7L99RF,4
31N9JPQXIPURWOCEW2LMU10KV1MHN5,A38DC3BG1ZCVZ2,5
32204AGAABOLMWVS9Y8R4HRNUP0HGX,A38DC3BG1ZCVZ2,4
32204AGAABOLMWVS9Y8R4HRNUP0HGX,ASB8T0H7L99RF,4
322ZSN9Z5GWVFPT3ERNF9BX8FEM4T7,A38DC3BG1ZCVZ2,5
322ZSN9Z5GWVFPT3ERNF9BX8FEM4T7,ASB8T0H7L99RF,4
32PT7WK7DMR3G4E2SNIHU2NGYS2D3C,ASB8T0H7L99RF,2
32PT7WK7DMR3G4E2SNIHU2NGYS2D3C,A38DC3BG1ZCVZ2,5
32ZCLEW0BZWNQFJH0H1ZA3LU88RJP8,ASB8T0H7L99RF,2
32ZCLEW0BZWNQFJH0H1ZA3LU88RJP8,A38DC3BG1ZCVZ2,4
33KMQD9OFJQ50EEF3MIL7RP0HJL77I,A38DC3BG1ZCVZ2,3
33KMQD9OFJQ50EEF3MIL7RP0HJL77I,ASB8T0H7L99RF,2
33N1S8XHHMXA925JX1TVX1RMOQY1Z7,A38DC3BG1ZCVZ2,3
33N1S8XHHMXA925JX1TVX1RMOQY1Z7,ASB8T0H7L99RF,3
33NKDW9FFXU5RAF2CGUUHCU2KNRCXB,A38DC3BG1ZCVZ2,5
33NKDW9FFXU5RAF2CGUUHCU2KNRCXB,ASB8T0H7L99RF,2
33P2GD6NRN4QOIRBZPT629JG16HHK0,A38DC3BG1ZCVZ2,4
33P2GD6NRN4QOIRBZPT629JG16HHK0,ASB8T0H7L99RF,2
33Q5P9PUSPYUW5FHDYIFEXADSNPCZ8,ASB8T0H7L99RF,2
33Q5P9PUSPYUW5FHDYIFEXADSNPCZ8,A38DC3BG1ZCVZ2,4
3421H3BM9AT2YS3AJS52ODLF3499J3,AHV4U78TUUDKI,3
3421H3BM9AT2YS3AJS52ODLF3499J3,A38DC3BG1ZCVZ2,3
34OWYT6U3WT63HJ41AK2CC6FQPK9IR,A38DC3BG1ZCVZ2,4
34OWYT6U3WT63HJ41AK2CC6FQPK9IR,ASB8T0H7L99RF,2
34R3P23QHSDHJILSO3C9QKDBODQHWW,A38DC3BG1ZCVZ2,1
34R3P23QHSDHJILSO3C9QKDBODQHWW,ASB8T0H7L99RF,2
34ZTTGSNJX0CZLP6CUD3YVVP0C9HQS,A38DC3BG1ZCVZ2,5
34ZTTGSNJX0CZLP6CUD3YVVP0C9HQS,ASB8T0H7L99RF,5
351S7I5UG98NNU74K2O76EGZ8TQJNC,A8TIL9U6YHG5,5
351S7I5UG98NNU74K2O76EGZ8TQJNC,A38DC3BG1ZCVZ2,4
3538U0YQ1F60EOSYJTD7I2Q1A5IF3P,A38DC3BG1ZCVZ2,5
3538U0YQ1F60EOSYJTD7I2Q1A5IF3P,ASB8T0H7L99RF,2
356TQKY9XF990SJYDRARLRLVS3R785,A38DC3BG1ZCVZ2,4
356TQKY9XF990SJYDRARLRLVS3R785,ASB8T0H7L99RF,3
