Id,title,idea,rating,labels,labels_viability,labels_feasibility,labels_desirability
307FVKVSYRR8HRWW1OKE4F5QRC047R,307FVKVSYRR8HRWW1OKE4F5QRC047R, Community endowments create wealth from investments in which profit is distributed to local shareholders and philanthropic organizations. Community endowments benefit three core users: businesses- non-profits- and individuals. The investment arm of a community endowment creates wealth through investment and support for local businesses. Profit from the investment activity is distributed as a dividend to shareholders who then spend this money in the local economy. Lastly- the other portion of profit is granted to non-profits which through their work raise community aura- thus circling back to benefit businesses and individuals. The community endowment concept draws on existing institutions; however- the novelty is in pairing an investment group- a co-operative mutual fund- and a community foundation under a single partnership. Instead of wealth concentrating in the hands of a few- it's distributed to residents interested in becoming a shareholder. This creates not only supplementary income but also a sense of ownership and pride in community. Create a small experimental group of ten to twenty friends willing to invest $50 into a co-operative mutual fund or credit union like structure. Then- invest the sum amount in a local business through a low interest bearing micro-loan. Take the profits and distribute a portion to the shareholders and then the remainder to a non-profit that supports community and economic development. See how the non-profit's actions might have benefited either the business- shareholders- or both! There is potential for this idea but many obstacles as well. The early obstacles are establishing a legal structure and ensuring the protection and stewardship of the shareholders' investment. Secondly- how can consistent profitability be generated so that shareholders receive a dividend? What can non-profits do to ensure their work is felt by businesses and citizens? An individual,3,3,4,4,1
307FVKVSYRR8HRWW1OKE4F5QRC074U,307FVKVSYRR8HRWW1OKE4F5QRC074U, Collaboration and expansion of possible venture strategy for sustainable business and profitable community This idea will benefit the banks- new financial ventures- existing SMEs- people near and below poverty line and the Microfinance venture. The main players would be existing and new entrepreneurs - existing and new farmers- associations supporting the local business and the government in the respective area. These key players will get access to finance- training and education on how to use new money and increase in quality of their life and increase in lower level of community I would like to answer this with- again- my project Joint venture between ASA - OCF in Ethiopia. ASA will create alliance with OCF- coffee growers- and will provide them with funds. Also ASA will transfer their knowledge and expertise to empower and train the common businessman and new entrepreneurs in how to use new money and how to create sustainable business. Microfinance will be important tool because it will provide easy access to small amount of money to common population. As explained- we can float a small venture in the region rich either with resources or with human capital. we will have to create the long term goal and long term profitability by identifying the scarcity of the market- local or global- and train & educate the local entrepreneurs in the particular field. This can be done in small scale but the timeline has to be defined and identified accordingly. I would need IDEO's expertise in challenging the idea from basic. Also I would need IDEO to help me create better plan and explore more sustainable and profitable business plan to elevate the current economic situation. An individual,1,1,1,1,1
3087LXLJ6MS4XWT106VOG4SU8O3F0Q,3087LXLJ6MS4XWT106VOG4SU8O3F0Q, create series of fun stories for kids- each has a different kind of adventure- the stories talk about the significance of finance ! Kids- they will enjoy reading fun stories and lean about finance at the same time Kids are the base of our communities- when we teach kids with different kind of dreams about the significance finance- we will arm them for future challenges . Create one story and tell it through (schools- meet up -....ect) and see people reaction -Screen writer -Creative strategiest- illustrator An individual,2,2,2,4,4
30OITAWPBQF67M8KVS2HC050R7A9HU,30OITAWPBQF67M8KVS2HC050R7A9HU, Financial literacy changes as you become more empowered It benefits those who seek to improve financial literacy and those who receive financial literacy training In every community there are early adopters who will learn quickly as long as the learning is immediately relevant and delivered in easily digestible doses. They will then teach their friends Our hypothesis is that poor households have gotJan Dhan bank accounts(J)- Aadhar cards (A)and most of them have mobile phones (M). This is called the JAM trinity in India.They now need to get the mobile phone linked to their account- get alerts and an MMID number. They need tolearn to use their debit cards at an ATM. We may test this soon in one of 272 wards in Delhi. This will enable them to receive money directly into their accounts. We will then get govt benefits/wages credited directly Has a similar easy step approach been used anywhere else . If it has worked and is documented then it would be great if links could be provided or documents uploaded. A group brainstorm,1,1,1,1,1
30OITAWPBQF67M8KVS2HC050R7AH92,30OITAWPBQF67M8KVS2HC050R7AH92, Making children realize the importance of exploring various ideas in order to gain financial stability. This idea will benefit all school-going children. This is meant to sharpen their minds. teach them how to think and push them to explore financial options at a young age- which will make them wiser adults in financial matters. It also aims at tapping out the true potential and figuring out the subject towards which the child is inclined. School teachers and the parents of the children will be actively involved in making this idea work. Using the power of spirit of competition- this idea will bring out the best of the minds together in order to make children financially competent. Cause As you sow- so you reap. Set the children thinking in the right direction and they will continue to do so. Try and implement this idea in a school and observe the results over a period of time. See how it benefits in a long run. Ideas to make it more appealing to schools and help to refine the idea. An individual,2,2,3,4,3
31ANT7FQN8EN6Z68S2P00K0Y5BRH5B,31ANT7FQN8EN6Z68S2P00K0Y5BRH5B, Find people in your community to enlarge your buying power and save In a community there are people who need the same products at the same point of time. Why couldn't they get together to buy more- share this and safe money instead? This idea is targeting families and singles who are frequent internet shoppers. A community's power is stronger than the sum of each individual. This can also be related to the power of the customers against suppliers. A community would be able to get cheaper prices for groceries- clothes and other commodities buy collecting their demand and forcing the suppliers to lower the price. Collect the demand of notebooks at the beginning of a new semester in my students club and get the cheapest price online. See how much you can share and which commodities can be purchased via this approach. The experiment could be enlarged by saving demand for an order of new clothes when seasons change. Do you think collecting the demand and scheduling the orders will work via an app? How could the community search for the cheapest offers? An individual,3,3,3,3,3
329E6HTMSWEBUAKCK444YFI6JW4K3S,329E6HTMSWEBUAKCK444YFI6JW4K3S, Using our kids to help our communities from an early age This idea will benefit both parents and children. From an early age- parents can teach their children about the importance of money and helping others by implementing some rules in their households. For example- if their kids misbehaved in day core/school- the parents take away their treats and save it for the kids that are poor. This way the kids behave- parents help out another family in need. Parents can share their household rules with neighbors and families. The family may decide to adopt the same rule for their family or similar ones. The end game is to teach their kids that there is poor families out there that needs support and parents can contribute to another family's need without having to take money out of their budget. When the children comes to the age of having a piggy bank- they can discipline them by taking $1 out every time they misbehave. An individual,2,2,2,3,2
32TZXEA1OLWU65HUC83535EDOQ041U,32TZXEA1OLWU65HUC83535EDOQ041U, This is a social event empowering millennials with critical financial planning skills- tools/resources they otherwise do not have access to. College students- grads w/ student debt- non-college both working & unemployed- those dependent onassistance &little to no retirement located select counties in Indiana.We'retargeting young adults to provide alternatives/preventative education for current/future struggles.They will have direct access to financial education- tools/resources- asset building- planning &support to establish long term financial security in a socially fun setting provided by Natco Credit Union. Natco will kick this off with an “Amazing Race”community challenge.Participants will go to various small business/centers to complete a challenge then given a clue to continue to event. Challenges will include financial activities related to the event theme.At the venue- guest speakers willshare info. on debt/credit- home ownership- student loans- employment- retirement- investing- etc. These community business owners/experts agree to actively follow up with participants one on one post events Natco Credit union will be seeking the assistance of a few millennial volunteers from our target market to assist in the planning and preparation of the weekly/monthly social events.We then willhost a Financial Happy Hour event to gauge the level of interest and to ensure that topics are on target and we are impacting our future community leaders. This will also provide opportunity to access marketing content such as pictures- reviews and create a social media buzz. We have seen similar programs being offered abroad with solid turnout and positive outcomes.We seek assistance/support with the topic content- incentives-delivery/group engagement- interactive activity ideas with long term impact & any input that would contribute to the financial freedom of our attendees.There is nothing even close to this program in our area and we have many young adults who are lost and have no financial knowledge whatsoever. A group brainstorm,3,3,2,4,3
32W3UF2EZOXET8RSS5SPK1X4SNR4CK,32W3UF2EZOXET8RSS5SPK1X4SNR4CK, High school students participate in an after school mock stock exchange! (UPDATE 5/31/15) This experience would benefit high school seniors and their families- by teaching students the basic structure and function of the stock market and engaging them in a unique opportunity to take part. This could develop as a new extension of already existing non-profit educational programs- and incentivize young people the way the real world incentivizes adults- with cash rather than grades- allowing them to learn about their role as future choice makers in a consumer-driven economy. By gaining sponsorship from local businesses- the Mock Stock program could be run through a local YMCA or rec center on weekday afternoons and function like an afterschool club or sport. It would provide students who are interested in economics with an opportunity to explore the world of Wall Street using small amounts of money in reward for smart choices. TD Ameritrade might even donate their online educational tools if it means helping raise the next generation of buyers... I could offer 3rd party workshops via Rainbow Tutoring- my friend's boutique tutoring company here in LA- which caters manly to high school students. A $5 buy in at the beginning of the program would be pooled and then rewarded to the student with the highest gain at the end. An experiment like this would allow us to gauge the willingness of teens to participate in a program like this- and track their interest so that the course structure could be amended for optimal engagement in the future. OpenIDEO community members with more advanced knowledge of the stock market could greatly enhance this concept- contributing the details necessary for a more accurate replication of the real thing. Community members who have experience teaching and leading teenagers would be able to advise us on how to make sure the students enjoyed their experience and felt motivated to learn and experiment. It’s important that the kids feel they walk away from their Mock Stock experience with useful knowledge. An individual,2,2,2,2,3
32W3UF2EZOXET8RSS5SPK1X4SNRC4S,32W3UF2EZOXET8RSS5SPK1X4SNRC4S, The Social Swipe“ by Misereor – makes giving easier than ever before An organization,1,1,1,1,1
